100 0.007747    0.000013
200 0.028964    0.000184
300 0.062990    0.000050
400 0.111324    0.000217
500 0.181983    0.000579
600 0.270497    0.002496
700 0.377150    0.003295
800 0.498899    0.004721
900 0.641821    0.014258
1000    0.800495    0.021976
1100    0.960682    0.016177
1200    1.144013    0.011775
1300    1.378742    0.029205
1400    1.565801    0.015451
1500    1.871677    0.044545
1600    2.056296    0.030557
1700    2.374166    0.021306
1800    2.643059    0.023423
1900    3.035071    0.061176
2000    3.320148    0.042859
